Last name;First name;ID;photoURL;group;position;country;party;telephone_1;telephone_2;email_1;address_brussels;address_strassbourg;tw_link;fb_link;ig_link;web_link;yt_link;li_link;D-ZA;D-MD;SEDE;ENVI;BUDG;D-CA;DNAT;AFET;SANT;D-BR;D-UA;CULT;D-RS;FISC;HOUS;DAFR;DCAB;DPAL;QUE;DSEE;ECON;REGI;DEVE;DMAG;DAND;CPDE;DACP;DSAS;PETI;D-AL;BCPR;D-IR;DCAR;CPCO;D-US;JURI;DASE;AFCO;D-CN;DEEA;D-MK;BURO;IMCO;DMED;ID;D-BY;D-AF;TRAN;D-IL;D-RU;EUDS;D-ME;FEMM;CONT;DKOR;DLAT;LIBE;D-IN;DMER;D-UK;D-JP;DROI;DARP;D-MX;PE;PECH;AGRI;ITRE;D-IQ;DPAP;DANZ;DPAC;DMAS;DEPA;DCAM;DCAS;DSCA;EMPL;D-TR;D-CL;INTA;find_me_URL
AALTOLA;Mika;256810;https://www.europarl.europa.eu/mepphoto/256810.jpg;Group of the European People's Party (Christian Democrats);Member;Finland;Kansallinen Kokoomus;0032 2 28 45975;0033 3 88 1 75975;mika.aaltola@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 06F164, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T08057, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/MikaAaltola;https://www.facebook.com/MikaAaltola2024/?locale=fi_FI;https://www.instagram.com/maaltola/?hl=fi;;;https://www.linkedin.com/in/mika-aaltola-6385501b/?originalSubdomain=fi;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;Substitute;;;;;256810;;;;;;Member;;;;;;;;;Vice-Chair;;;;;;;;;;;;;;;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/256810
ABADÍA JOVER;Maravillas;257043;https://www.europarl.europa.eu/mepphoto/257043.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45176;0033 3 88 1 75176;maravillas.abadiajover@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E210, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10002, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/mabadiajover;;;;;;;;;;;;;;;;;;;;Substitute;;;Member;;;;Substitute;;;;;;;;;;;;;;Member;;;;;;;;Member;257043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;https://www.europarl.europa.eu/meps/en/257043
ADAMOWICZ;Magdalena;197490;https://www.europarl.europa.eu/mepphoto/197490.jpg;Group of the European People's Party (Christian Democrats);Member;Poland;Independent;0032 2 28 45378;0033 3 88 1 75378;magdalena.adamowicz@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13E161, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10046, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/Adamowicz_Magda;https://www.facebook.com/adamowicz.magdalena;https://www.instagram.com/adamowicz_magda;https://adamowiczmagdalena.pl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;Substitute;;;;;;;;;197490;;;Substitute;;;;;;;;;Member;;;;;;;;;Substitute;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197490
AFTIAS;Georgios;256820;https://www.europarl.europa.eu/mepphoto/256820.jpg;Group of the European People's Party (Christian Democrats);Member;Greece;Nea Demokratia;0032 2 28 45177;0033 3 88 1 75177;georgios.aftias@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 09E154, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T09031, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;https://www.instagram.com/georgeaftias/;;;;;;;;Member;Substitute;;;;;;;Vice-Chair;;Substitute;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;256820;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256820
AGIRREGOITIA MARTÍNEZ;Oihane;256987;https://www.europarl.europa.eu/mepphoto/256987.jpg;Renew Europe Group;Member of the Bureau;Spain;Partido Nacionalista Vasco;0032 2 28 45209;0033 3 88 1 75209;oihane.agirregoitiamartinez@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10G253, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02106, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/oagirregoitia;;https://www.instagram.com/oagirregoitiam/ ;;;https://www.linkedin.com/in/oihaneaguirregoitia/ ;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;256987;;;Member;;;;;;;;Member;;;Vice-Chair;;;;;;;Substitute;;Member;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256987
AGIUS;Peter;113523;https://www.europarl.europa.eu/mepphoto/113523.jpg;Group of the European People's Party (Christian Democrats);Member;Malta;Partit Nazzjonalista;0032 2 28 45192;0033 3 88 1 75192;peter.agius@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 07F136, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T11008, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/peteragius_eu;https://www.facebook.com/PeterAgiusMalta/;https://www.instagram.com/peteragius/;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;Member;;113523;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/113523
AGIUS SALIBA;Alex;197403;https://www.europarl.europa.eu/mepphoto/197403.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Vice-Chair;Malta;Partit Laburista;0032 2 28 45536;0033 3 88 1 75536;alex.agiussaliba@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G108, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T07040, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/alexagiussaliba;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;Substitute;;;;;;;;;;;;;;Member;;197403;;;;;;;;;;;Member;Substitute;;Substitute;;;;;;;;;;;;;;;;;;;Substitute;;;;https://www.europarl.europa.eu/meps/en/197403
ALEXANDRAKI;Galato;256956;https://www.europarl.europa.eu/mepphoto/256956.jpg;European Conservatives and Reformists Group;Member;Greece;Elliniki Lusi-Greek Solution;0032 2 28 45254;0033 3 88 1 75254;galato.alexandraki@europarl.europa.eu;Parlement européen, Bât. SOPHIE SCHOLL, 01U037, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M05027, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Substitute;;;;;;;;;;;;Member;;Member;;;;;;;;;Member;;Member;;;;;;;;;;;;;;;;256956;;;;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256956
ALLIONE;Grégory;256869;https://www.europarl.europa.eu/mepphoto/256869.jpg;Renew Europe Group;Member;France;Renaissance;0032 2 28 45215;0033 3 88 1 75215;gregory.allione@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08G318, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02053, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;Member;256869;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;Substitute;;;Member;;;;https://www.europarl.europa.eu/meps/en/256869
AL-SAHLANI;Abir;197400;https://www.europarl.europa.eu/mepphoto/197400.jpg;Renew Europe Group;Member;Sweden;Centerpartiet;0032 2 28 45507;0033 3 88 1 75507;abir.alsahlani@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10G258, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02058, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/abiralsahlani;https://www.facebook.com/abirtillbryssel/;https://www.instagram.com/abiralsahlani/;https://www.centerpartiet.se/vart-parti/vara-politiker/europaparlamentariker/abir-al-sahlani;https://www.youtube.com/channel/UCsHWeFfKVAlYghODL7WbVwQ/;https://www.linkedin.com/in/abiralsahlani/;Substitute;;;;;;;;;;;;;;;;;;;;;;Vice-Chair;;;;;;;;;;;;;;;;;;;;;;197400;;;;;;;;Member;;;;Member;;;;;;Vice-Chair;;;;;;Member;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197400
